wadg,nsg_random,nsg_no_random
67023,107025,183405
87938,82782,137655
88154,88335,120766
117549,130803,158308
85508,94989,132612
98942,101841,140225
116161,132133,134597
92493,92672,147333
111961,118785,122393
62419,103200,103200
56910,82115,172445
70500,105627,139417
104717,100294,138548
91150,98348,140025
101093,112536,155904
54427,109685,156190
84823,102527,146883
49644,66790,110656
48101,81211,100695
118964,94939,94939
44086,59735,114212
107355,83232,178126
95073,103297,107579
90023,83077,127256
72202,81925,182649
113171,96166,169369
84415,107775,115037
90675,96901,134399
103529,101767,166701
116268,120603,120603
79581,103896,133276
72922,78693,121324
75454,97966,128892
77820,88415,126443
82212,112802,157787
74526,100005,128284
58161,83399,149283
106208,95656,108816
78796,105965,125308
90604,123854,135380
41169,59060,139350
79622,131166,137661
59273,62005,127581
65859,83637,131634
107852,105264,181157
94623,86267,137576
79307,81269,141753
92379,106793,129902
100808,96207,112266
99063,111441,111441
65923,85290,128750
73898,73087,200851
105939,117469,149414
109266,106119,170287
98070,121732,167944
57451,48284,107556
70446,78301,134417
64314,83632,119979
99165,103338,128418
89054,115667,139336
92193,101871,135604
83341,65684,153305
81398,96876,130316
73192,98203,131911
92500,103299,157922
120171,114121,123793
107808,90381,145305
100605,146165,164093
77710,82641,145159
76686,115238,150131
120496,133672,151272
90603,113308,142955
104699,127682,150550
71409,85307,147599
79186,100250,162049
101233,66198,80422
133752,119112,119112
93975,115878,130582
86866,85539,110082
105235,116524,140256
81419,95911,134968
72241,84964,118744
71877,93648,137234
89976,93734,130265
73854,82806,148523
78915,100097,107535
108106,106886,155939
80890,90536,189648
120819,134904,142896
40297,53972,130000
113603,122375,138707
72974,81025,107605
93148,99569,109732
64690,81712,119516
46503,70676,137679
86572,95919,149586
132425,126119,180010
79104,91409,150726
96905,110378,150748
88221,86264,126091
91988,99539,124596
95382,114604,114604
115643,113063,137408
115828,91039,159242
58246,69150,137747
140517,126293,126293
84068,82709,138579
83289,98199,107872
67748,65430,154405
45798,54476,147144
32769,46342,129071
44622,41607,140192
75902,66701,131077
90615,93878,125939
98800,99123,134478
59006,60125,126761
69842,94000,132875
89478,92176,166330
76480,72510,124008
82213,72443,183670
118687,80293,198352
71373,92672,203201
119117,138694,177476
90139,74876,114716
90580,86909,181375
114583,64150,182077
130299,106673,211311
90717,104058,237179
105985,104210,201754
91544,91043,199854
133359,141794,159722
86626,83663,146506
109219,94087,184427
129270,90881,153128
106936,88716,202501
96810,117791,117791
149370,114797,114797
45387,56292,142946
139960,164140,164170
93454,96376,171396
131895,47108,186338
137702,130300,159384
106064,137139,150445
109108,100748,184151
88693,88901,103253
53119,55467,171652
95324,122211,175479
58741,60107,142882
103249,109339,123749
123249,113373,169210
120489,113196,162035
104878,124504,173064
107829,125264,162552
153255,149255,179071
116927,116861,116861
87447,118456,142535
83268,97236,142816
168084,171044,174193
66016,72237,134597
109287,108222,108222
95950,133803,140909
69598,31701,200823
94283,90907,154249
102460,101420,175088
47667,64228,180066
81776,60852,204466
68168,92322,142449
101129,102725,113839
64104,108826,192184
160985,108344,191839
156950,109851,109851
85930,61705,206347
54590,80504,128315
137379,120811,171761
29318,31539,191694
93092,133977,135886
129327,139054,139054
112903,121294,160251
118777,126059,169875
26838,27747,200651
57339,78404,150990
88326,87394,197164
49127,65041,112394
112088,91792,113691
91348,110498,142044
51165,84395,113882
100032,99979,133200
136265,108024,151487
44913,73140,142278
47870,57857,130164
44545,61445,141472
94175,67270,160987
128721,168629,179267
38144,64624,101148
85354,107047,121925
91723,99967,128861
56563,64852,125614
92826,65757,143246
86826,72167,106507
54983,62961,104660
46693,61425,114328
73884,83220,132671
119574,139813,163761
96666,122341,150862
106216,120155,176713
88533,78948,158770
82446,103193,182487
78227,96399,127894
108005,104612,134298
111921,129767,157491
92814,90956,112523
58180,88716,180845
72241,91626,189879
113728,137173,137173
93769,98533,142841
119973,99599,99599
185509,122104,190813
77213,110907,176248
85995,137874,137874
115743,121179,131461
57501,98069,110884
109860,93378,97823
97612,101629,101629
54267,73355,135208
107463,130893,197563
105520,150715,156883
136839,71612,218234
112759,116218,161246
49956,71262,105621
102810,92015,152697
61656,80688,142757
132108,117878,148801
86309,77111,169157
65812,70480,133421
79444,110747,176540
59061,85038,108914
80688,56460,159491
