wadg,nsg_random,nsg_no_random
0.00270612,0.00270088,0.00331567
0.00264288,0.00275811,0.00312467
0.00319988,0.00289121,0.0034223
0.00232288,0.00222692,0.00292464
0.00279541,0.00287785,0.00369147
0.00238246,0.00393317,0.00338963
0.00248488,0.00436109,0.00320026
0.0025838,0.00383285,0.00299512
0.00151524,0.00248319,0.00220576
0.00209132,0.00379077,0.00310972
0.00262337,0.00429952,0.00352713
0.00256296,0.00238493,0.00284989
0.00229288,0.00216316,0.00267884
0.0018268,0.00234717,0.00229075
0.00261565,0.00301826,0.00313898
0.00342848,0.00287071,0.00347802
0.00282582,0.00245742,0.00274652
0.00293274,0.00279442,0.00293307
0.00300757,0.00275435,0.0030884
0.00301915,0.00275014,0.00328417
0.00271586,0.00256579,0.00529403
0.0015444,0.00181128,0.00390307
0.00284691,0.00270218,0.00563791
0.00260816,0.00218281,0.00280821
0.00236272,0.00246225,0.00277323
0.00264736,0.00295561,0.00310914
0.00230203,0.00210961,0.00259264
0.00290597,0.00230307,0.00262935
0.00239373,0.00250657,0.00275858
0.00234935,0.00196696,0.00308128
0.00240025,0.00245999,0.00273563
0.00198106,0.00214609,0.00270904
0.00196034,0.00208995,0.00237429
0.00315374,0.00325517,0.00376227
0.00230065,0.00214645,0.00277135
0.00210246,0.00208862,0.00246246
0.00288981,0.00292316,0.00280658
0.00308668,0.00284451,0.00343933
0.00202051,0.00204058,0.00256244
0.0029659,0.0027446,0.00313694
0.00273721,0.0029365,0.00307223
0.00278962,0.0027401,0.00341496
0.00247514,0.00247906,0.00283092
0.00310377,0.00261489,0.00275736
0.00289578,0.00263063,0.00306315
0.002939,0.0032191,0.00329252
0.0040186,0.00307675,0.00298258
0.0030253,0.0024352,0.00293037
0.00307457,0.00288045,0.0033702
0.00301159,0.00263286,0.00351549
0.0031789,0.00276739,0.00313514
0.00277478,0.0027128,0.00283389
0.00253681,0.00277405,0.00272871
0.00184337,0.00179495,0.00220398
0.00249816,0.00245041,0.00276523
0.00209096,0.00199044,0.00224468
0.0026159,0.00288395,0.00293562
0.00271307,0.00307266,0.00299079
0.00248927,0.00243242,0.00285118
0.0027433,0.00212978,0.00268493
0.00261044,0.00263909,0.00253609
0.00282642,0.00282088,0.00297559
0.00284174,0.00314839,0.0030204
0.00243418,0.00215831,0.0025991
0.00289921,0.00271605,0.00327201
0.0032969,0.00324474,0.00340165
0.0029262,0.00244995,0.0029541
0.00317361,0.00354859,0.00319074
0.00256729,0.00251419,0.00302552
0.00290129,0.00273685,0.00310623
0.00251133,0.00298497,0.00268119
0.00338432,0.00281552,0.00326444
0.00290137,0.00265219,0.00282607
0.00290047,0.00276763,0.00286229
0.00298782,0.00296235,0.00306649
0.00275316,0.00278176,0.00322508
0.00242327,0.00224581,0.00371831
0.00298147,0.00324721,0.00355679
0.00272819,0.00293326,0.00307179
0.00296581,0.00263097,0.00459343
0.00275994,0.00468432,0.00589651
0.00270771,0.00424793,0.00371998
0.00294255,0.00434198,0.00558516
0.00290267,0.00424911,0.00564602
0.00284948,0.00438539,0.0054578
0.0032944,0.00493353,0.00585473
0.00205438,0.00286752,0.00402898
0.00285902,0.00407697,0.0049603
0.00220477,0.00294724,0.00248571
0.00260925,0.00393898,0.00272464
0.00261665,0.00387952,0.00281863
0.00268416,0.0047212,0.00347629
0.00216908,0.00345163,0.00241499
0.00281107,0.00516825,0.00309779
0.00314121,0.00378713,0.00280167
0.00282614,0.00308877,0.00322026
0.00240752,0.00241892,0.00286488
0.00335363,0.00308671,0.00340957
0.00232796,0.00240266,0.00261938
0.00314844,0.00257764,0.00374001
0.00292571,0.00268073,0.00323381
0.00294838,0.00266745,0.00335932
0.00264022,0.00250628,0.00334544
0.00257614,0.00269576,0.00286318
0.00264487,0.00288451,0.00313287
0.00295263,0.00294458,0.00326109
0.00323801,0.00338779,0.00317988
0.00375031,0.00356518,0.00308096
0.00482575,0.00288738,0.00339993
0.00362765,0.00233674,0.00272345
0.00287955,0.00295563,0.00499418
0.00223423,0.00209888,0.00380322
0.0030022,0.00279306,0.00374317
0.00268355,0.00276158,0.00303112
0.00273119,0.0037484,0.00305765
0.00235166,0.00232749,0.00274194
0.0033227,0.00285361,0.0033499
0.00271667,0.00264839,0.00316024
0.00285497,0.0029106,0.00316649
0.00262319,0.00254752,0.00328621
0.0029089,0.00261587,0.00330479
0.00294429,0.00291299,0.00338319
0.00244538,0.00259158,0.00293563
0.00293159,0.00288381,0.00444318
0.00204827,0.00254994,0.00484548
0.00272966,0.00278837,0.00483638
0.00257365,0.00252829,0.00308985
0.00306826,0.0033548,0.00329226
0.0032206,0.00277966,0.00317946
0.00265527,0.00259829,0.00343567
0.00295293,0.00307232,0.00336912
0.00291182,0.00257782,0.00297296
0.0026786,0.00275489,0.00340509
0.00293919,0.00301737,0.00326486
0.00333432,0.00327299,0.00344284
0.00296856,0.00301527,0.00300231
0.00280874,0.00278048,0.00305373
0.00230581,0.00239445,0.00273056
0.00268708,0.00277975,0.00296452
0.00285454,0.0026268,0.00323819
0.00310317,0.00272913,0.00311156
0.00269281,0.00290553,0.00287077
0.0028326,0.00274693,0.0031446
0.00296751,0.00280511,0.00334787
0.00291172,0.00269465,0.0028996
0.00270154,0.00319834,0.00317168
0.00306777,0.00276302,0.0028929
0.00285637,0.00281421,0.00330848
0.00284763,0.0032166,0.00317756
0.00281059,0.00287174,0.00360049
0.00238781,0.00237265,0.00274454
0.00265302,0.00235902,0.00292716
0.00258391,0.00267737,0.00265987
0.00243869,0.00243591,0.00287246
