wadg,nsg_random,nsg_no_random
3.16E-05,0.000263907,0.0001593
2.96E-05,0.000264881,0.000147525
2.61E-05,0.00025815,0.000147535
2.70E-05,0.000256647,0.00014577
8.68E-05,0.000304151,0.000148953
2.87E-05,0.000261791,0.000146678
2.69E-05,0.000265281,0.000146931
2.59E-05,0.000273224,0.000144233
2.64E-05,0.000262667,0.000181966
5.04E-05,0.000261093,0.000152196
6.44E-05,0.00025844,0.000142133
2.74E-05,0.000264801,0.000175742
2.67E-05,0.000260193,0.000147816
3.00E-05,0.000263853,0.000146307
2.63E-05,0.000258586,0.000178371
2.75E-05,0.000540879,0.000155381
2.73E-05,0.000413865,0.000171134
2.91E-05,0.000448259,0.000153689
2.59E-05,0.000410278,0.00015966
2.51E-05,0.000391463,0.000150729
2.60E-05,0.000510305,0.000151617
4.43E-05,0.000257208,0.000148255
5.21E-05,0.000244602,0.000156232
2.85E-05,0.000247689,0.0001546
2.49E-05,0.000273449,0.000140968
2.62E-05,0.000280605,0.000144372
3.03E-05,0.00029577,0.000139931
3.09E-05,0.000276525,0.000141049
2.85E-05,0.0002483,0.000133944
2.64E-05,0.000244344,0.000141761
3.78E-05,0.000244624,0.000291629
2.70E-05,0.000299565,0.000253309
2.66E-05,0.000241875,0.000258553
2.67E-05,0.000246024,0.000150797
4.62E-05,0.000244491,0.000138147
0.000109634,0.000278497,0.000141962
2.79E-05,0.000305468,0.000136951
2.46E-05,0.000245246,0.000133787
3.26E-05,0.000242911,0.000133198
2.70E-05,0.000258462,0.000134179
2.79E-05,0.000258752,0.000154167
4.45E-05,0.000245383,0.000134584
4.45E-05,0.000251034,0.000133903
4.45E-05,0.000250178,0.000192157
4.35E-05,0.000245836,0.000142606
2.49E-05,0.000257435,0.000136092
4.93E-05,0.000247492,0.000138376
3.85E-05,0.000280953,0.000139213
2.84E-05,0.000270304,0.000133004
2.61E-05,0.000246814,0.000134203
4.66E-05,0.000278914,0.000136654
2.85E-05,0.000250171,0.000149743
2.88E-05,0.000250788,0.000144721
2.77E-05,0.000245039,0.000136923
3.35E-05,0.00027018,0.000132509
3.32E-05,0.000271686,0.000161447
4.68E-05,0.000275028,0.000134101
4.04E-05,0.000271722,0.000132755
5.68E-05,0.000268309,0.00013429
4.03E-05,0.000284766,0.000137327
3.48E-05,0.000258361,0.000139152
3.54E-05,0.000255161,0.000134759
5.29E-05,0.000269449,0.000135487
3.10E-05,0.000284271,0.000152202
3.78E-05,0.000246447,0.000147924
5.56E-05,0.000270468,0.000138049
4.92E-05,0.000255791,0.000133772
2.86E-05,0.000288599,0.00013957
2.86E-05,0.000287459,0.000136389
3.48E-05,0.000260448,0.000128128
5.39E-05,0.00034488,0.000135322
3.55E-05,0.000273295,0.00013728
3.32E-05,0.000277843,0.000127881
6.11E-05,0.000295226,0.000137675
3.64E-05,0.000253223,0.00015527
3.34E-05,0.000248788,0.000148641
5.56E-05,0.000252273,0.000139745
3.51E-05,0.000252482,0.00013619
3.30E-05,0.000300773,0.000134305
3.37E-05,0.000303082,0.000143708
3.16E-05,0.000248624,0.000135498
4.39E-05,0.000292328,0.000135005
4.98E-05,0.000259556,0.000139377
3.33E-05,0.00024527,0.000131805
3.74E-05,0.000255844,0.000149512
3.28E-05,0.000250753,0.000143521
3.29E-05,0.000248252,0.000156416
4.91E-05,0.000283757,0.000191416
6.72E-05,0.00028893,0.00015108
3.28E-05,0.000299271,0.000181749
3.42E-05,0.000287564,0.000256764
3.31E-05,0.000464261,0.000256465
3.22E-05,0.000413753,0.000228637
4.94E-05,0.000413986,0.000247444
3.66E-05,0.00040465,0.000245444
3.63E-05,0.000412238,0.000260297
3.89E-05,0.000446972,0.00025371
3.04E-05,0.000412947,0.000244546
4.58E-05,0.000440373,0.000245974
4.52E-05,0.000424349,0.00015238
3.43E-05,0.000412162,0.000135369
3.21E-05,0.000456786,0.000143195
2.74E-05,0.00041949,0.000142466
2.69E-05,0.000411794,0.000135965
2.77E-05,0.000424319,0.00013873
4.48E-05,0.000265068,0.000139646
2.93E-05,0.000260923,0.000137853
2.72E-05,0.000258521,0.00014564
3.62E-05,0.000274909,0.000137878
2.97E-05,0.000263883,0.000157504
2.75E-05,0.000261782,0.000202328
2.89E-05,0.000258893,0.000147064
6.58E-05,0.000258308,0.00014668
2.72E-05,0.000261461,0.000146631
2.64E-05,0.00028145,0.000148603
2.98E-05,0.000282971,0.000142236
6.02E-05,0.000336908,0.000144192
5.84E-05,0.000301576,0.000165868
4.29E-05,0.000266772,0.000145126
4.23E-05,0.000262068,0.000146568
3.14E-05,0.00026889,0.000166056
5.11E-05,0.000261497,0.000179283
2.99E-05,0.000258717,0.000147977
2.64E-05,0.000275626,0.000216877
2.85E-05,0.000345096,0.000150882
2.85E-05,0.000271233,0.000146286
3.51E-05,0.000245287,0.00015055
4.82E-05,0.000348553,0.000145991
3.07E-05,0.000291515,0.000149963
2.69E-05,0.000247211,0.000139655
5.87E-05,0.000286076,0.000157246
2.81E-05,0.000250144,0.000156464
2.89E-05,0.000244166,0.000143768
2.69E-05,0.000245484,0.00015116
2.92E-05,0.000258912,0.000253967
2.71E-05,0.000283338,0.000260967
2.62E-05,0.000259666,0.000148907
2.66E-05,0.000258749,0.000150017
5.76E-05,0.000263915,0.000144729
7.53E-05,0.000258346,0.000156279
2.82E-05,0.00026426,0.000164806
2.73E-05,0.000264209,0.00013968
3.12E-05,0.000276153,0.000139844
3.03E-05,0.000257525,0.000141186
2.76E-05,0.000260721,0.000134611
3.27E-05,0.000295144,0.000135651
4.96E-05,0.000295792,0.000137328
3.15E-05,0.000262156,0.000131276
2.67E-05,0.000295451,0.000135026
2.91E-05,0.000260756,0.000133548
4.84E-05,0.000249898,0.000196734
3.16E-05,0.000246265,0.000148292
2.69E-05,0.000324094,0.000140576
8.29E-05,0.000249704,0.000136102
3.01E-05,0.000247591,0.000140012
2.93E-05,0.000246021,0.000136222
2.85E-05,0.000272169,0.000135273
2.97E-05,0.00025234,0.000145386
2.72E-05,0.00024529,0.000138189
6.53E-05,0.000255319,0.000136849
2.69E-05,0.000292457,0.000134285
3.91E-05,0.000290756,0.000163361
3.83E-05,0.000247779,0.00015008
2.90E-05,0.000249325,0.000148598
2.67E-05,0.000248424,0.000149276
3.25E-05,0.000294672,0.000147043
2.89E-05,0.000318352,0.00013455
2.77E-05,0.000394941,0.000146218
2.75E-05,0.00034047,0.000133329
3.50E-05,0.00027694,0.000142711
3.70E-05,0.000266143,0.000139462
7.46E-05,0.00025175,0.000138513
3.43E-05,0.000258545,0.000138033
7.23E-05,0.000249231,0.000158329
4.90E-05,0.000250111,0.00014168
3.21E-05,0.000247754,0.000137974
5.31E-05,0.000316405,0.000147307
3.40E-05,0.000270137,0.000156312
3.21E-05,0.0002483,0.000137821
4.72E-05,0.000312735,0.000140866
4.54E-05,0.00025409,0.000150051
4.48E-05,0.000255287,0.00013707
5.53E-05,0.000249757,0.000143054
4.19E-05,0.000285022,0.000137908
3.50E-05,0.000255169,0.000164772
4.15E-05,0.000245064,0.000146163
3.54E-05,0.000244936,0.000248267
3.27E-05,0.000277747,0.000189345
3.49E-05,0.000258077,0.000157875
3.51E-05,0.000247847,0.000153767
3.47E-05,0.000294441,0.000154291
5.24E-05,0.000249473,0.000160366
6.46E-05,0.00043038,0.000161315
3.62E-05,0.000439042,0.000151624
3.26E-05,0.00041443,0.00026117
4.74E-05,0.000406992,0.000156542
3.47E-05,0.000274016,0.000144737
3.56E-05,0.000256014,0.000165252
3.40E-05,0.000259515,0.000147994
3.21E-05,0.000274039,0.000146708
3.27E-05,0.000256395,0.000140928
5.00E-05,0.000271086,0.000154461
3.40E-05,0.000265981,0.000145915
3.73E-05,0.000259835,0.000138553
5.14E-05,0.000267018,0.000145208
5.05E-05,0.000265314,0.000247351
3.37E-05,0.000260848,0.000155388
5.57E-05,0.000309556,0.000143396
4.97E-05,0.000263029,0.000147181
